Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Status
statement-hoop-earrings-pack-of-12,Statement Hoop Earrings - Pack of 12,"<p>A ready-to-list pack of 12 statement hoop earrings in mixed on-trend styles. Low MOQ, high repeat-buy potential - a proven Vinted and TikTok Shop mover.</p>",GBG Wholesale Hub,Jewellery & Accessories,"jewellery-accessories,best-sellers",TRUE,Title,Default Title,GBG-JWL-001,400,shopify,60,deny,manual,18.00,,TRUE,TRUE,https://placehold.co/900x900/EAE6DC/16181D?text=Hoop+Earrings+Pack,1,Statement hoop earrings pack of 12 on a stone-coloured background,FALSE,Statement Hoop Earrings Pack of 12 | GBG Wholesale Hub,Wholesale pack of 12 statement hoop earrings at low MOQ - ready to resell.,active
layered-chain-necklace-set,Layered Chain Necklace Set - Pack of 15,"<p>Fifteen layered chain necklaces per pack, offered in your choice of finish. A consistent top seller for resellers building a jewellery storefront.</p>",GBG Wholesale Hub,Jewellery & Accessories,"jewellery-accessories,new-arrivals",TRUE,Finish,Gold,GBG-JWL-002-GLD,650,shopify,40,deny,manual,22.00,,TRUE,TRUE,https://placehold.co/900x900/EAE6DC/16181D?text=Necklace+Set+Gold,1,Layered chain necklace set in gold finish,FALSE,Layered Chain Necklace Set | GBG Wholesale Hub,Wholesale pack of 15 layered chain necklaces at low MOQ.,active
layered-chain-necklace-set,,,,,,,Finish,Silver,GBG-JWL-002-SLV,650,shopify,35,deny,manual,22.00,,TRUE,TRUE,https://placehold.co/900x900/EAE6DC/16181D?text=Necklace+Set+Silver,1,Layered chain necklace set in silver finish,FALSE,,,active
layered-chain-necklace-set,,,,,,,Finish,Rose Gold,GBG-JWL-002-RGD,650,shopify,25,deny,manual,22.00,,TRUE,TRUE,https://placehold.co/900x900/EAE6DC/16181D?text=Necklace+Set+Rose+Gold,1,Layered chain necklace set in rose gold finish,FALSE,,,active
wireless-earbuds-pack-of-6,Wireless Earbuds - Pack of 6,"<p>Six wireless Bluetooth earbud sets per pack, boxed and ready to resell. A strong TikTok Shop and eBay category with repeat demand.</p>",GBG Wholesale Hub,Electronics,"electronics,new-arrivals",TRUE,Title,Default Title,GBG-ELC-001,1800,shopify,30,deny,manual,54.00,,TRUE,TRUE,https://placehold.co/900x900/EAE6DC/16181D?text=Wireless+Earbuds+Pack,1,Wireless earbuds pack of 6 boxed units,FALSE,Wireless Earbuds Pack of 6 | GBG Wholesale Hub,Wholesale pack of 6 boxed wireless earbuds at low MOQ.,active
mini-ring-light-kit-pack-of-4,Mini Ring Light Kit - Pack of 4,"<p>Four compact ring light kits per pack, popular with content-creator resellers. Simple to list, easy to demo, quick to sell.</p>",GBG Wholesale Hub,Electronics,"electronics,best-sellers",TRUE,Title,Default Title,GBG-ELC-002,2200,shopify,45,deny,manual,38.00,,TRUE,TRUE,https://placehold.co/900x900/EAE6DC/16181D?text=Ring+Light+Kit+Pack,1,Mini ring light kit pack of 4,FALSE,Mini Ring Light Kit Pack of 4 | GBG Wholesale Hub,Wholesale pack of 4 mini ring light kits at low MOQ.,active
oversized-knit-jumpers-pack-of-8,Oversized Knit Jumpers - Pack of 8 (Mixed Sizes),"<p>Eight oversized knit jumpers per pack in mixed sizes (S-XL), a season-round staple for fashion resellers.</p>",GBG Wholesale Hub,Fashion,fashion,TRUE,Title,Default Title,GBG-FSH-001,3200,shopify,20,deny,manual,96.00,,TRUE,TRUE,https://placehold.co/900x900/EAE6DC/16181D?text=Knit+Jumpers+Pack,1,Oversized knit jumpers pack of 8 mixed sizes,FALSE,Oversized Knit Jumpers Pack of 8 | GBG Wholesale Hub,Wholesale pack of 8 oversized knit jumpers in mixed sizes.,active
scented-candle-trio-pack-of-10,Scented Candle Trio - Pack of 10,"<p>Ten scented candles per pack across three signature scents, a reliable Home & Lifestyle seller with strong repeat-purchase demand.</p>",GBG Wholesale Hub,Home & Lifestyle,"home-lifestyle,best-sellers",TRUE,Title,Default Title,GBG-HML-001,4500,shopify,50,deny,manual,45.00,,TRUE,TRUE,https://placehold.co/900x900/EAE6DC/16181D?text=Scented+Candle+Pack,1,Scented candle trio pack of 10,FALSE,Scented Candle Trio Pack of 10 | GBG Wholesale Hub,Wholesale pack of 10 scented candles at low MOQ.,active
reseller-starter-box-small,Reseller Starter Box - Small,"<p>The lowest-risk way to start: a small mixed pack across jewellery, accessories and lifestyle items, chosen to give first-time resellers a fast, varied first listing batch.</p>",GBG Wholesale Hub,Starter Boxes,"starter-boxes,new-arrivals",TRUE,Focus,Mixed,GBG-STB-001-MIX,2500,shopify,80,deny,manual,50.00,,TRUE,TRUE,https://placehold.co/900x900/EAE6DC/16181D?text=Starter+Box+Small,1,Reseller starter box small mixed focus,FALSE,Reseller Starter Box Small | GBG Wholesale Hub,The lowest-risk way to start reselling - a small mixed Starter Box.,active
reseller-starter-box-small,,,,,,,Focus,Jewellery Mix,GBG-STB-001-JWL,2500,shopify,50,deny,manual,50.00,,TRUE,TRUE,https://placehold.co/900x900/EAE6DC/16181D?text=Starter+Box+Jewellery,1,Reseller starter box small jewellery focus,FALSE,,,active
